Load,Time Stamp
1156.1,2018-01-13 00:00:00
1129.5,2018-01-13 01:00:00
1129.4,2018-01-13 02:00:00
1134.9,2018-01-13 03:00:00
1165.1,2018-01-13 04:00:00
1205.6,2018-01-13 05:00:00
1266.3,2018-01-13 06:00:00
1349.1,2018-01-13 07:00:00
1446.3,2018-01-13 08:00:00
1524.4,2018-01-13 09:00:00
1590.2,2018-01-13 10:00:00
1630.3,2018-01-13 11:00:00
1604.5,2018-01-13 12:00:00
1582.8,2018-01-13 13:00:00
1588.6,2018-01-13 14:00:00
1607.8,2018-01-13 15:00:00
1677.0,2018-01-13 16:00:00
1790.1,2018-01-13 17:00:00
1787.1,2018-01-13 18:00:00
1759.2,2018-01-13 19:00:00
1737.3,2018-01-13 20:00:00
1677.4,2018-01-13 21:00:00
1601.7,2018-01-13 22:00:00
1526.3,2018-01-13 23:00:00
