Load,Time Stamp
931.9,2018-12-30 00:00:00
893.5,2018-12-30 01:00:00
876.8,2018-12-30 02:00:00
859.8,2018-12-30 03:00:00
870.3,2018-12-30 04:00:00
886.4,2018-12-30 05:00:00
921.0,2018-12-30 06:00:00
971.4,2018-12-30 07:00:00
1030.0,2018-12-30 08:00:00
1070.2,2018-12-30 09:00:00
1107.0,2018-12-30 10:00:00
1120.9,2018-12-30 11:00:00
1110.5,2018-12-30 12:00:00
1100.3,2018-12-30 13:00:00
1110.2,2018-12-30 14:00:00
1128.6,2018-12-30 15:00:00
1194.0,2018-12-30 16:00:00
1270.0,2018-12-30 17:00:00
1258.3,2018-12-30 18:00:00
1233.3,2018-12-30 19:00:00
1203.3,2018-12-30 20:00:00
1153.5,2018-12-30 21:00:00
1083.7,2018-12-30 22:00:00
1016.6,2018-12-30 23:00:00
