Load,Time Stamp
1680.8,2018-02-22 00:00:00
1603.6,2018-02-22 01:00:00
1556.7,2018-02-22 02:00:00
1542.7,2018-02-22 03:00:00
1576.1,2018-02-22 04:00:00
1681.2,2018-02-22 05:00:00
1855.5,2018-02-22 06:00:00
2005.4,2018-02-22 07:00:00
2129.1,2018-02-22 08:00:00
2219.4,2018-02-22 09:00:00
2301.2,2018-02-22 10:00:00
2323.8,2018-02-22 11:00:00
2340.9,2018-02-22 12:00:00
2361.0,2018-02-22 13:00:00
2384.8,2018-02-22 14:00:00
2404.1,2018-02-22 15:00:00
2472.0,2018-02-22 16:00:00
2576.9,2018-02-22 17:00:00
2627.2,2018-02-22 18:00:00
2586.9,2018-02-22 19:00:00
2499.2,2018-02-22 20:00:00
2367.5,2018-02-22 21:00:00
2185.4,2018-02-22 22:00:00
2010.9,2018-02-22 23:00:00
