Load,Time Stamp
858.7,2018-08-15 00:00:00
819.4,2018-08-15 01:00:00
782.7,2018-08-15 02:00:00
756.0,2018-08-15 03:00:00
768.9,2018-08-15 04:00:00
838.4,2018-08-15 05:00:00
902.0,2018-08-15 06:00:00
1001.3,2018-08-15 07:00:00
1038.4,2018-08-15 08:00:00
1055.2,2018-08-15 09:00:00
1099.6,2018-08-15 10:00:00
1125.2,2018-08-15 11:00:00
1172.1,2018-08-15 12:00:00
1193.9,2018-08-15 13:00:00
1203.7,2018-08-15 14:00:00
1223.9,2018-08-15 15:00:00
1244.2,2018-08-15 16:00:00
1246.2,2018-08-15 17:00:00
1239.8,2018-08-15 18:00:00
1199.5,2018-08-15 19:00:00
1183.0,2018-08-15 20:00:00
1127.6,2018-08-15 21:00:00
1025.6,2018-08-15 22:00:00
948.9,2018-08-15 23:00:00
