Load,Time Stamp
7162.6,2018-07-25 00:00:00
6856.5,2018-07-25 01:00:00
6654.3,2018-07-25 02:00:00
6536.3,2018-07-25 03:00:00
6554.9,2018-07-25 04:00:00
6791.5,2018-07-25 05:00:00
7197.1,2018-07-25 06:00:00
7607.7,2018-07-25 07:00:00
8043.4,2018-07-25 08:00:00
8364.3,2018-07-25 09:00:00
8533.7,2018-07-25 10:00:00
8683.2,2018-07-25 11:00:00
8765.2,2018-07-25 12:00:00
8822.1,2018-07-25 13:00:00
8869.4,2018-07-25 14:00:00
8843.4,2018-07-25 15:00:00
8854.7,2018-07-25 16:00:00
8754.9,2018-07-25 17:00:00
8430.6,2018-07-25 18:00:00
8220.7,2018-07-25 19:00:00
8090.3,2018-07-25 20:00:00
7927.8,2018-07-25 21:00:00
7565.6,2018-07-25 22:00:00
7088.9,2018-07-25 23:00:00
