Load,Time Stamp
1077.4,2019-06-28 00:00:00
1012.2,2019-06-28 01:00:00
970.8,2019-06-28 02:00:00
947.1,2019-06-28 03:00:00
947.4,2019-06-28 04:00:00
981.4,2019-06-28 05:00:00
1056.4,2019-06-28 06:00:00
1155.1,2019-06-28 07:00:00
1246.8,2019-06-28 08:00:00
1332.3,2019-06-28 09:00:00
1409.9,2019-06-28 10:00:00
1479.1,2019-06-28 11:00:00
1529.1,2019-06-28 12:00:00
1586.1,2019-06-28 13:00:00
1614.8,2019-06-28 14:00:00
1617.2,2019-06-28 15:00:00
1619.6,2019-06-28 16:00:00
1590.8,2019-06-28 17:00:00
1508.4,2019-06-28 18:00:00
1440.4,2019-06-28 19:00:00
1404.7,2019-06-28 20:00:00
1375.9,2019-06-28 21:00:00
1283.4,2019-06-28 22:00:00
1181.1,2019-06-28 23:00:00
