Load,Time Stamp
461.9,2019-10-06 00:00:00
457.2,2019-10-06 01:00:00
458.4,2019-10-06 02:00:00
486.2,2019-10-06 03:00:00
489.8,2019-10-06 04:00:00
495.4,2019-10-06 05:00:00
496.6,2019-10-06 06:00:00
507.0,2019-10-06 07:00:00
525.2,2019-10-06 08:00:00
510.3,2019-10-06 09:00:00
497.9,2019-10-06 10:00:00
495.0,2019-10-06 11:00:00
495.8,2019-10-06 12:00:00
493.4,2019-10-06 13:00:00
490.2,2019-10-06 14:00:00
491.1,2019-10-06 15:00:00
520.4,2019-10-06 16:00:00
528.2,2019-10-06 17:00:00
500.4,2019-10-06 18:00:00
501.7,2019-10-06 19:00:00
491.7,2019-10-06 20:00:00
478.1,2019-10-06 21:00:00
460.7,2019-10-06 22:00:00
451.2,2019-10-06 23:00:00
