Load,Time Stamp
1630.5,2020-01-01 00:00:00
1575.6,2020-01-01 01:00:00
1549.5,2020-01-01 02:00:00
1527.5,2020-01-01 03:00:00
1548.3,2020-01-01 04:00:00
1576.9,2020-01-01 05:00:00
1627.8,2020-01-01 06:00:00
1684.5,2020-01-01 07:00:00
1729.3,2020-01-01 08:00:00
1771.2,2020-01-01 09:00:00
1791.2,2020-01-01 10:00:00
1823.9,2020-01-01 11:00:00
1846.7,2020-01-01 12:00:00
1873.5,2020-01-01 13:00:00
1870.1,2020-01-01 14:00:00
1883.9,2020-01-01 15:00:00
1929.9,2020-01-01 16:00:00
2001.1,2020-01-01 17:00:00
1997.3,2020-01-01 18:00:00
1968.3,2020-01-01 19:00:00
1908.2,2020-01-01 20:00:00
1841.4,2020-01-01 21:00:00
1759.1,2020-01-01 22:00:00
1670.2,2020-01-01 23:00:00
