Load,Time Stamp
530.7977,2020-09-13 00:00:00
510.8955,2020-09-13 01:00:00
493.4847,2020-09-13 02:00:00
481.8296,2020-09-13 03:00:00
478.47900000000004,2020-09-13 04:00:00
484.7438,2020-09-13 05:00:00
495.9516,2020-09-13 06:00:00
510.2112,2020-09-13 07:00:00
544.2317,2020-09-13 08:00:00
579.1287,2020-09-13 09:00:00
606.6756,2020-09-13 10:00:00
639.4909,2020-09-13 11:00:00
664.6030000000001,2020-09-13 12:00:00
682.7913,2020-09-13 13:00:00
685.7860000000001,2020-09-13 14:00:00
687.6273,2020-09-13 15:00:00
702.4604,2020-09-13 16:00:00
712.9599,2020-09-13 17:00:00
719.5197,2020-09-13 18:00:00
740.4761,2020-09-13 19:00:00
740.9054,2020-09-13 20:00:00
723.3176,2020-09-13 21:00:00
687.5716,2020-09-13 22:00:00
648.0585,2020-09-13 23:00:00
