Load,Time Stamp
302.8605,2020-09-28 00:00:00
275.4206,2020-09-28 01:00:00
263.7523,2020-09-28 02:00:00
254.1787,2020-09-28 03:00:00
254.6836,2020-09-28 04:00:00
265.5675,2020-09-28 05:00:00
284.6621,2020-09-28 06:00:00
308.5226,2020-09-28 07:00:00
336.099,2020-09-28 08:00:00
355.5459,2020-09-28 09:00:00
365.7756,2020-09-28 10:00:00
367.5702,2020-09-28 11:00:00
373.0471,2020-09-28 12:00:00
374.5131,2020-09-28 13:00:00
377.5422,2020-09-28 14:00:00
385.0629,2020-09-28 15:00:00
396.5521,2020-09-28 16:00:00
402.7921,2020-09-28 17:00:00
395.9422,2020-09-28 18:00:00
400.3021,2020-09-28 19:00:00
383.7549,2020-09-28 20:00:00
360.4781,2020-09-28 21:00:00
331.8782,2020-09-28 22:00:00
297.8503,2020-09-28 23:00:00
