Load,Time Stamp
18107.975400000003,2020-09-03 00:00:00
17325.0448,2020-09-03 01:00:00
16756.5547,2020-09-03 02:00:00
16444.7419,2020-09-03 03:00:00
16420.9618,2020-09-03 04:00:00
16902.536,2020-09-03 05:00:00
17720.7829,2020-09-03 06:00:00
18436.2575,2020-09-03 07:00:00
19298.0534,2020-09-03 08:00:00
19958.375000000004,2020-09-03 09:00:00
20699.5502,2020-09-03 10:00:00
21539.9627,2020-09-03 11:00:00
22172.4904,2020-09-03 12:00:00
22756.6709,2020-09-03 13:00:00
23398.517200000002,2020-09-03 14:00:00
23899.536699999997,2020-09-03 15:00:00
24071.9479,2020-09-03 16:00:00
23962.2121,2020-09-03 17:00:00
23276.875500000002,2020-09-03 18:00:00
22732.9003,2020-09-03 19:00:00
22155.512300000002,2020-09-03 20:00:00
21200.1447,2020-09-03 21:00:00
20160.102799999997,2020-09-03 22:00:00
19041.4583,2020-09-03 23:00:00
