Load,Time Stamp
1572.3,2020-03-07 00:00:00
1538.6,2020-03-07 01:00:00
1509.1,2020-03-07 02:00:00
1510.6,2020-03-07 03:00:00
1515.7,2020-03-07 04:00:00
1540.3,2020-03-07 05:00:00
1584.8,2020-03-07 06:00:00
1615.7,2020-03-07 07:00:00
1649.3,2020-03-07 08:00:00
1660.0,2020-03-07 09:00:00
1652.7,2020-03-07 10:00:00
1627.6,2020-03-07 11:00:00
1601.7,2020-03-07 12:00:00
1573.1,2020-03-07 13:00:00
1555.2,2020-03-07 14:00:00
1562.5,2020-03-07 15:00:00
1596.7,2020-03-07 16:00:00
1647.6,2020-03-07 17:00:00
1732.2,2020-03-07 18:00:00
1754.7,2020-03-07 19:00:00
1736.5,2020-03-07 20:00:00
1698.8,2020-03-07 21:00:00
1645.2,2020-03-07 22:00:00
1587.5,2020-03-07 23:00:00
