Load,Time Stamp
4750.5716,2021-02-07 00:00:00
4580.3291,2021-02-07 01:00:00
4461.3262,2021-02-07 02:00:00
4382.9969,2021-02-07 03:00:00
4358.4292,2021-02-07 04:00:00
4405.3044,2021-02-07 05:00:00
4512.9548,2021-02-07 06:00:00
4640.5453,2021-02-07 07:00:00
4853.9196,2021-02-07 08:00:00
5142.6806,2021-02-07 09:00:00
5412.6122,2021-02-07 10:00:00
5580.4405,2021-02-07 11:00:00
5726.0757,2021-02-07 12:00:00
5777.4513,2021-02-07 13:00:00
5798.3859,2021-02-07 14:00:00
5788.9422,2021-02-07 15:00:00
5791.4139,2021-02-07 16:00:00
5885.9215,2021-02-07 17:00:00
5953.7565,2021-02-07 18:00:00
5857.302,2021-02-07 19:00:00
5721.1391,2021-02-07 20:00:00
5601.3137,2021-02-07 21:00:00
5422.4295,2021-02-07 22:00:00
5207.9608,2021-02-07 23:00:00
