"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"04/19/2020 00:00",998,1414,498,828,835,1732,603,243,4303,530,1356,13340
"04/19/2020 01:00",970,1386,477,808,804,1636,584,230,4154,530,1322,12901
"04/19/2020 02:00",954,1371,459,793,786,1582,576,225,4034,528,1302,12610
"04/19/2020 03:00",951,1357,449,785,777,1546,573,222,3949,523,1288,12420
"04/19/2020 04:00",960,1353,447,783,778,1540,574,222,3899,526,1281,12363
"04/19/2020 05:00",977,1376,450,794,790,1546,582,222,3890,527,1283,12437
"04/19/2020 06:00",981,1381,445,794,788,1519,582,224,3845,531,1267,12357
"04/19/2020 07:00",995,1392,446,798,788,1492,601,230,3844,539,1265,12390
"04/19/2020 08:00",1008,1412,453,804,785,1467,615,232,3915,543,1277,12511
"04/19/2020 09:00",998,1414,459,831,763,1457,623,236,4011,547,1313,12652
"04/19/2020 10:00",989,1432,464,847,745,1443,623,236,4105,545,1328,12757
"04/19/2020 11:00",995,1458,466,863,747,1446,635,238,4170,545,1357,12920
"04/19/2020 12:00",993,1462,474,875,761,1465,638,243,4237,541,1356,13045
"04/19/2020 13:00",994,1451,480,876,772,1495,628,243,4296,534,1347,13116
"04/19/2020 14:00",1001,1421,480,864,781,1544,612,244,4316,531,1346,13140
"04/19/2020 15:00",1009,1419,480,861,778,1592,607,245,4318,531,1349,13189
"04/19/2020 16:00",1051,1443,493,877,819,1674,624,248,4340,533,1367,13469
"04/19/2020 17:00",1112,1489,513,900,876,1803,650,260,4403,534,1385,13925
"04/19/2020 18:00",1131,1516,529,913,921,1912,667,267,4496,536,1397,14285
"04/19/2020 19:00",1164,1544,549,918,956,2006,686,275,4615,540,1391,14644
"04/19/2020 20:00",1166,1549,561,937,968,2064,693,279,4710,543,1433,14903
"04/19/2020 21:00",1103,1486,545,911,918,1975,665,266,4650,537,1421,14477
"04/19/2020 22:00",1027,1416,514,870,864,1846,629,246,4514,527,1384,13837
"04/19/2020 23:00",964,1359,480,833,806,1698,595,224,4323,519,1352,13153
"04/20/2020 00:00",954,1374,468,819,776,1622,582,208,4166,515,1387,12871
"04/20/2020 01:00",935,1364,451,807,750,1544,571,198,4042,518,1369,12549
"04/20/2020 02:00",930,1364,437,804,738,1505,567,195,3950,520,1364,12374
"04/20/2020 03:00",939,1373,430,810,737,1484,571,194,3894,519,1368,12319
"04/20/2020 04:00",963,1407,431,832,747,1500,587,197,3891,527,1381,12463
"04/20/2020 05:00",1022,1491,449,890,782,1562,623,208,3983,535,1424,12969
"04/20/2020 06:00",1089,1598,473,948,832,1639,670,226,4136,551,1472,13634
"04/20/2020 07:00",1140,1658,503,988,875,1740,709,246,4344,566,1521,14290
"04/20/2020 08:00",1148,1668,539,990,893,1803,720,263,4552,559,1530,14665
"04/20/2020 09:00",1135,1660,559,993,885,1858,717,272,4737,554,1534,14904
"04/20/2020 10:00",1119,1647,571,1001,880,1889,710,274,4848,548,1535,15022
"04/20/2020 11:00",1113,1642,579,1001,887,1914,696,274,4918,539,1540,15103
"04/20/2020 12:00",1102,1637,581,997,888,1924,682,276,4976,535,1541,15139
"04/20/2020 13:00",1095,1617,575,995,894,1918,665,269,4986,533,1535,15082
"04/20/2020 14:00",1084,1588,568,971,883,1911,645,266,4972,533,1514,14935
"04/20/2020 15:00",1076,1561,566,954,873,1909,634,260,4947,530,1500,14810
"04/20/2020 16:00",1110,1570,568,962,896,1941,652,264,4946,531,1509,14949
"04/20/2020 17:00",1190,1600,583,987,950,2056,678,279,4964,537,1530,15354
"04/20/2020 18:00",1242,1624,595,998,999,2134,702,288,4955,537,1555,15629
"04/20/2020 19:00",1261,1648,604,1003,1028,2193,721,292,4990,543,1569,15852
"04/20/2020 20:00",1265,1664,609,1024,1033,2220,739,295,5023,550,1605,16027
"04/20/2020 21:00",1204,1617,587,998,983,2119,719,282,4925,539,1581,15554
"04/20/2020 22:00",1125,1542,553,942,920,1979,678,263,4752,526,1526,14806
"04/20/2020 23:00",1061,1474,515,893,857,1823,637,241,4528,518,1469,14016
"04/21/2020 00:00",1013,1420,474,868,813,1689,609,221,4318,517,1432,13374
"04/21/2020 01:00",989,1404,455,846,785,1600,592,209,4144,519,1394,12937
"04/21/2020 02:00",980,1389,441,833,770,1555,584,206,4015,515,1378,12666
"04/21/2020 03:00",983,1386,434,831,765,1529,584,205,3935,508,1371,12531
"04/21/2020 04:00",1004,1411,436,846,773,1543,597,209,3912,516,1378,12625
"04/21/2020 05:00",1056,1482,454,896,802,1604,634,220,3978,528,1416,13070
"04/21/2020 06:00",1112,1580,481,948,845,1673,686,237,4131,549,1467,13709
"04/21/2020 07:00",1158,1641,510,986,878,1757,728,255,4350,560,1513,14336
"04/21/2020 08:00",1168,1665,539,998,890,1797,741,265,4589,557,1545,14754
"04/21/2020 09:00",1163,1671,551,1006,879,1814,742,265,4756,554,1570,14971
"04/21/2020 10:00",1166,1684,553,1028,876,1819,750,263,4845,547,1597,15128
"04/21/2020 11:00",1176,1704,558,1040,878,1840,753,259,4903,544,1614,15269
"04/21/2020 12:00",1179,1721,559,1045,881,1852,753,260,4955,544,1623,15372
"04/21/2020 13:00",1179,1715,553,1048,890,1855,743,259,4964,541,1624,15371
"04/21/2020 14:00",1164,1696,547,1034,881,1849,727,256,4963,535,1602,15254
