Load Forecast,Time Stamp
618,2018-01-15 00:00:00
603,2018-01-15 01:00:00
594,2018-01-15 02:00:00
588,2018-01-15 03:00:00
594,2018-01-15 04:00:00
616,2018-01-15 05:00:00
651,2018-01-15 06:00:00
679,2018-01-15 07:00:00
704,2018-01-15 08:00:00
724,2018-01-15 09:00:00
743,2018-01-15 10:00:00
742,2018-01-15 11:00:00
738,2018-01-15 12:00:00
733,2018-01-15 13:00:00
735,2018-01-15 14:00:00
738,2018-01-15 15:00:00
762,2018-01-15 16:00:00
816,2018-01-15 17:00:00
821,2018-01-15 18:00:00
803,2018-01-15 19:00:00
773,2018-01-15 20:00:00
731,2018-01-15 21:00:00
674,2018-01-15 22:00:00
625,2018-01-15 23:00:00
599,2018-01-16 00:00:00
581,2018-01-16 01:00:00
573,2018-01-16 02:00:00
569,2018-01-16 03:00:00
578,2018-01-16 04:00:00
612,2018-01-16 05:00:00
679,2018-01-16 06:00:00
733,2018-01-16 07:00:00
735,2018-01-16 08:00:00
738,2018-01-16 09:00:00
743,2018-01-16 10:00:00
738,2018-01-16 11:00:00
735,2018-01-16 12:00:00
732,2018-01-16 13:00:00
730,2018-01-16 14:00:00
742,2018-01-16 15:00:00
766,2018-01-16 16:00:00
810,2018-01-16 17:00:00
815,2018-01-16 18:00:00
796,2018-01-16 19:00:00
764,2018-01-16 20:00:00
722,2018-01-16 21:00:00
663,2018-01-16 22:00:00
609,2018-01-16 23:00:00
573,2018-01-17 00:00:00
554,2018-01-17 01:00:00
545,2018-01-17 02:00:00
541,2018-01-17 03:00:00
550,2018-01-17 04:00:00
586,2018-01-17 05:00:00
659,2018-01-17 06:00:00
720,2018-01-17 07:00:00
727,2018-01-17 08:00:00
739,2018-01-17 09:00:00
745,2018-01-17 10:00:00
739,2018-01-17 11:00:00
736,2018-01-17 12:00:00
736,2018-01-17 13:00:00
733,2018-01-17 14:00:00
746,2018-01-17 15:00:00
776,2018-01-17 16:00:00
821,2018-01-17 17:00:00
830,2018-01-17 18:00:00
816,2018-01-17 19:00:00
789,2018-01-17 20:00:00
751,2018-01-17 21:00:00
692,2018-01-17 22:00:00
638,2018-01-17 23:00:00
598,2018-01-18 00:00:00
579,2018-01-18 01:00:00
571,2018-01-18 02:00:00
568,2018-01-18 03:00:00
579,2018-01-18 04:00:00
616,2018-01-18 05:00:00
691,2018-01-18 06:00:00
750,2018-01-18 07:00:00
750,2018-01-18 08:00:00
754,2018-01-18 09:00:00
752,2018-01-18 10:00:00
743,2018-01-18 11:00:00
734,2018-01-18 12:00:00
730,2018-01-18 13:00:00
728,2018-01-18 14:00:00
741,2018-01-18 15:00:00
769,2018-01-18 16:00:00
816,2018-01-18 17:00:00
828,2018-01-18 18:00:00
814,2018-01-18 19:00:00
787,2018-01-18 20:00:00
749,2018-01-18 21:00:00
692,2018-01-18 22:00:00
639,2018-01-18 23:00:00
603,2018-01-19 00:00:00
584,2018-01-19 01:00:00
576,2018-01-19 02:00:00
571,2018-01-19 03:00:00
582,2018-01-19 04:00:00
618,2018-01-19 05:00:00
692,2018-01-19 06:00:00
749,2018-01-19 07:00:00
746,2018-01-19 08:00:00
743,2018-01-19 09:00:00
740,2018-01-19 10:00:00
725,2018-01-19 11:00:00
712,2018-01-19 12:00:00
702,2018-01-19 13:00:00
699,2018-01-19 14:00:00
712,2018-01-19 15:00:00
735,2018-01-19 16:00:00
779,2018-01-19 17:00:00
788,2018-01-19 18:00:00
770,2018-01-19 19:00:00
743,2018-01-19 20:00:00
711,2018-01-19 21:00:00
666,2018-01-19 22:00:00
622,2018-01-19 23:00:00
586,2018-01-20 00:00:00
564,2018-01-20 01:00:00
551,2018-01-20 02:00:00
542,2018-01-20 03:00:00
544,2018-01-20 04:00:00
556,2018-01-20 05:00:00
581,2018-01-20 06:00:00
605,2018-01-20 07:00:00
624,2018-01-20 08:00:00
641,2018-01-20 09:00:00
641,2018-01-20 10:00:00
633,2018-01-20 11:00:00
629,2018-01-20 12:00:00
620,2018-01-20 13:00:00
616,2018-01-20 14:00:00
623,2018-01-20 15:00:00
646,2018-01-20 16:00:00
691,2018-01-20 17:00:00
696,2018-01-20 18:00:00
680,2018-01-20 19:00:00
659,2018-01-20 20:00:00
640,2018-01-20 21:00:00
611,2018-01-20 22:00:00
580,2018-01-20 23:00:00
