Load Forecast,Time Stamp
306,2018-01-19 00:00:00
297,2018-01-19 01:00:00
295,2018-01-19 02:00:00
296,2018-01-19 03:00:00
304,2018-01-19 04:00:00
329,2018-01-19 05:00:00
371,2018-01-19 06:00:00
395,2018-01-19 07:00:00
391,2018-01-19 08:00:00
384,2018-01-19 09:00:00
374,2018-01-19 10:00:00
363,2018-01-19 11:00:00
353,2018-01-19 12:00:00
347,2018-01-19 13:00:00
345,2018-01-19 14:00:00
353,2018-01-19 15:00:00
374,2018-01-19 16:00:00
405,2018-01-19 17:00:00
420,2018-01-19 18:00:00
412,2018-01-19 19:00:00
395,2018-01-19 20:00:00
375,2018-01-19 21:00:00
344,2018-01-19 22:00:00
316,2018-01-19 23:00:00
327,2018-01-20 00:00:00
314,2018-01-20 01:00:00
308,2018-01-20 02:00:00
305,2018-01-20 03:00:00
308,2018-01-20 04:00:00
320,2018-01-20 05:00:00
340,2018-01-20 06:00:00
358,2018-01-20 07:00:00
367,2018-01-20 08:00:00
368,2018-01-20 09:00:00
363,2018-01-20 10:00:00
354,2018-01-20 11:00:00
345,2018-01-20 12:00:00
337,2018-01-20 13:00:00
335,2018-01-20 14:00:00
342,2018-01-20 15:00:00
367,2018-01-20 16:00:00
403,2018-01-20 17:00:00
417,2018-01-20 18:00:00
410,2018-01-20 19:00:00
393,2018-01-20 20:00:00
377,2018-01-20 21:00:00
350,2018-01-20 22:00:00
324,2018-01-20 23:00:00
304,2018-01-21 00:00:00
292,2018-01-21 01:00:00
287,2018-01-21 02:00:00
285,2018-01-21 03:00:00
288,2018-01-21 04:00:00
299,2018-01-21 05:00:00
314,2018-01-21 06:00:00
324,2018-01-21 07:00:00
331,2018-01-21 08:00:00
335,2018-01-21 09:00:00
332,2018-01-21 10:00:00
328,2018-01-21 11:00:00
322,2018-01-21 12:00:00
319,2018-01-21 13:00:00
320,2018-01-21 14:00:00
329,2018-01-21 15:00:00
355,2018-01-21 16:00:00
394,2018-01-21 17:00:00
411,2018-01-21 18:00:00
407,2018-01-21 19:00:00
394,2018-01-21 20:00:00
373,2018-01-21 21:00:00
338,2018-01-21 22:00:00
306,2018-01-21 23:00:00
261,2018-01-22 00:00:00
253,2018-01-22 01:00:00
251,2018-01-22 02:00:00
252,2018-01-22 03:00:00
260,2018-01-22 04:00:00
286,2018-01-22 05:00:00
325,2018-01-22 06:00:00
349,2018-01-22 07:00:00
351,2018-01-22 08:00:00
346,2018-01-22 09:00:00
343,2018-01-22 10:00:00
339,2018-01-22 11:00:00
336,2018-01-22 12:00:00
335,2018-01-22 13:00:00
335,2018-01-22 14:00:00
344,2018-01-22 15:00:00
366,2018-01-22 16:00:00
396,2018-01-22 17:00:00
410,2018-01-22 18:00:00
403,2018-01-22 19:00:00
383,2018-01-22 20:00:00
356,2018-01-22 21:00:00
316,2018-01-22 22:00:00
281,2018-01-22 23:00:00
259,2018-01-23 00:00:00
249,2018-01-23 01:00:00
245,2018-01-23 02:00:00
245,2018-01-23 03:00:00
251,2018-01-23 04:00:00
275,2018-01-23 05:00:00
311,2018-01-23 06:00:00
332,2018-01-23 07:00:00
332,2018-01-23 08:00:00
324,2018-01-23 09:00:00
319,2018-01-23 10:00:00
313,2018-01-23 11:00:00
309,2018-01-23 12:00:00
309,2018-01-23 13:00:00
310,2018-01-23 14:00:00
318,2018-01-23 15:00:00
341,2018-01-23 16:00:00
376,2018-01-23 17:00:00
396,2018-01-23 18:00:00
392,2018-01-23 19:00:00
375,2018-01-23 20:00:00
353,2018-01-23 21:00:00
318,2018-01-23 22:00:00
287,2018-01-23 23:00:00
267,2018-01-24 00:00:00
260,2018-01-24 01:00:00
259,2018-01-24 02:00:00
261,2018-01-24 03:00:00
270,2018-01-24 04:00:00
296,2018-01-24 05:00:00
339,2018-01-24 06:00:00
360,2018-01-24 07:00:00
354,2018-01-24 08:00:00
343,2018-01-24 09:00:00
332,2018-01-24 10:00:00
323,2018-01-24 11:00:00
316,2018-01-24 12:00:00
314,2018-01-24 13:00:00
315,2018-01-24 14:00:00
326,2018-01-24 15:00:00
350,2018-01-24 16:00:00
386,2018-01-24 17:00:00
406,2018-01-24 18:00:00
403,2018-01-24 19:00:00
392,2018-01-24 20:00:00
371,2018-01-24 21:00:00
335,2018-01-24 22:00:00
304,2018-01-24 23:00:00
