Load Forecast,Time Stamp
4475,2018-05-21 00:00:00
4301,2018-05-21 01:00:00
4202,2018-05-21 02:00:00
4165,2018-05-21 03:00:00
4206,2018-05-21 04:00:00
4419,2018-05-21 05:00:00
4878,2018-05-21 06:00:00
5444,2018-05-21 07:00:00
5838,2018-05-21 08:00:00
6056,2018-05-21 09:00:00
6182,2018-05-21 10:00:00
6264,2018-05-21 11:00:00
6321,2018-05-21 12:00:00
6386,2018-05-21 13:00:00
6414,2018-05-21 14:00:00
6463,2018-05-21 15:00:00
6494,2018-05-21 16:00:00
6413,2018-05-21 17:00:00
6167,2018-05-21 18:00:00
5995,2018-05-21 19:00:00
5930,2018-05-21 20:00:00
5765,2018-05-21 21:00:00
5427,2018-05-21 22:00:00
5009,2018-05-21 23:00:00
4685,2018-05-22 00:00:00
4457,2018-05-22 01:00:00
4314,2018-05-22 02:00:00
4246,2018-05-22 03:00:00
4269,2018-05-22 04:00:00
4462,2018-05-22 05:00:00
4959,2018-05-22 06:00:00
5521,2018-05-22 07:00:00
5899,2018-05-22 08:00:00
6082,2018-05-22 09:00:00
6174,2018-05-22 10:00:00
6220,2018-05-22 11:00:00
6241,2018-05-22 12:00:00
6247,2018-05-22 13:00:00
6217,2018-05-22 14:00:00
6215,2018-05-22 15:00:00
6191,2018-05-22 16:00:00
6084,2018-05-22 17:00:00
5867,2018-05-22 18:00:00
5714,2018-05-22 19:00:00
5666,2018-05-22 20:00:00
5487,2018-05-22 21:00:00
5149,2018-05-22 22:00:00
4766,2018-05-22 23:00:00
4638,2018-05-23 00:00:00
4427,2018-05-23 01:00:00
4282,2018-05-23 02:00:00
4220,2018-05-23 03:00:00
4252,2018-05-23 04:00:00
4472,2018-05-23 05:00:00
5042,2018-05-23 06:00:00
5681,2018-05-23 07:00:00
6109,2018-05-23 08:00:00
6329,2018-05-23 09:00:00
6459,2018-05-23 10:00:00
6556,2018-05-23 11:00:00
6619,2018-05-23 12:00:00
6692,2018-05-23 13:00:00
6744,2018-05-23 14:00:00
6825,2018-05-23 15:00:00
6888,2018-05-23 16:00:00
6813,2018-05-23 17:00:00
6569,2018-05-23 18:00:00
6401,2018-05-23 19:00:00
6382,2018-05-23 20:00:00
6230,2018-05-23 21:00:00
5882,2018-05-23 22:00:00
5421,2018-05-23 23:00:00
4893,2018-05-24 00:00:00
4613,2018-05-24 01:00:00
4450,2018-05-24 02:00:00
4371,2018-05-24 03:00:00
4392,2018-05-24 04:00:00
4597,2018-05-24 05:00:00
5074,2018-05-24 06:00:00
5686,2018-05-24 07:00:00
6141,2018-05-24 08:00:00
6490,2018-05-24 09:00:00
6543,2018-05-24 10:00:00
6518,2018-05-24 11:00:00
6454,2018-05-24 12:00:00
6417,2018-05-24 13:00:00
6383,2018-05-24 14:00:00
6406,2018-05-24 15:00:00
6466,2018-05-24 16:00:00
6445,2018-05-24 17:00:00
6176,2018-05-24 18:00:00
5955,2018-05-24 19:00:00
5763,2018-05-24 20:00:00
5636,2018-05-24 21:00:00
5353,2018-05-24 22:00:00
5000,2018-05-24 23:00:00
4717,2018-05-25 00:00:00
4457,2018-05-25 01:00:00
4292,2018-05-25 02:00:00
4211,2018-05-25 03:00:00
4236,2018-05-25 04:00:00
4443,2018-05-25 05:00:00
4961,2018-05-25 06:00:00
5602,2018-05-25 07:00:00
6106,2018-05-25 08:00:00
6488,2018-05-25 09:00:00
6652,2018-05-25 10:00:00
6759,2018-05-25 11:00:00
6818,2018-05-25 12:00:00
6885,2018-05-25 13:00:00
6939,2018-05-25 14:00:00
7028,2018-05-25 15:00:00
7107,2018-05-25 16:00:00
7030,2018-05-25 17:00:00
6746,2018-05-25 18:00:00
6503,2018-05-25 19:00:00
6321,2018-05-25 20:00:00
6215,2018-05-25 21:00:00
5947,2018-05-25 22:00:00
5581,2018-05-25 23:00:00
5084,2018-05-26 00:00:00
4795,2018-05-26 01:00:00
4605,2018-05-26 02:00:00
4483,2018-05-26 03:00:00
4431,2018-05-26 04:00:00
4453,2018-05-26 05:00:00
4645,2018-05-26 06:00:00
5007,2018-05-26 07:00:00
5424,2018-05-26 08:00:00
5845,2018-05-26 09:00:00
6051,2018-05-26 10:00:00
6163,2018-05-26 11:00:00
6180,2018-05-26 12:00:00
6155,2018-05-26 13:00:00
6136,2018-05-26 14:00:00
6152,2018-05-26 15:00:00
6203,2018-05-26 16:00:00
6203,2018-05-26 17:00:00
6128,2018-05-26 18:00:00
6005,2018-05-26 19:00:00
5915,2018-05-26 20:00:00
5896,2018-05-26 21:00:00
5710,2018-05-26 22:00:00
5463,2018-05-26 23:00:00
