Load Forecast,Time Stamp
14021,2018-10-27 00:00:00
13408,2018-10-27 01:00:00
13026,2018-10-27 02:00:00
12814,2018-10-27 03:00:00
12782,2018-10-27 04:00:00
13034,2018-10-27 05:00:00
13709,2018-10-27 06:00:00
14541,2018-10-27 07:00:00
15319,2018-10-27 08:00:00
16024,2018-10-27 09:00:00
16446,2018-10-27 10:00:00
16592,2018-10-27 11:00:00
16587,2018-10-27 12:00:00
16468,2018-10-27 13:00:00
16338,2018-10-27 14:00:00
16264,2018-10-27 15:00:00
16366,2018-10-27 16:00:00
16616,2018-10-27 17:00:00
17329,2018-10-27 18:00:00
17354,2018-10-27 19:00:00
16868,2018-10-27 20:00:00
16281,2018-10-27 21:00:00
15514,2018-10-27 22:00:00
14607,2018-10-27 23:00:00
13539,2018-10-28 00:00:00
12949,2018-10-28 01:00:00
12588,2018-10-28 02:00:00
12382,2018-10-28 03:00:00
12319,2018-10-28 04:00:00
12476,2018-10-28 05:00:00
12973,2018-10-28 06:00:00
13596,2018-10-28 07:00:00
14238,2018-10-28 08:00:00
14888,2018-10-28 09:00:00
15315,2018-10-28 10:00:00
15521,2018-10-28 11:00:00
15613,2018-10-28 12:00:00
15590,2018-10-28 13:00:00
15541,2018-10-28 14:00:00
15555,2018-10-28 15:00:00
15777,2018-10-28 16:00:00
16219,2018-10-28 17:00:00
17046,2018-10-28 18:00:00
17177,2018-10-28 19:00:00
16775,2018-10-28 20:00:00
16138,2018-10-28 21:00:00
15244,2018-10-28 22:00:00
14263,2018-10-28 23:00:00
13247,2018-10-29 00:00:00
12768,2018-10-29 01:00:00
12507,2018-10-29 02:00:00
12422,2018-10-29 03:00:00
12611,2018-10-29 04:00:00
13417,2018-10-29 05:00:00
15082,2018-10-29 06:00:00
16483,2018-10-29 07:00:00
17024,2018-10-29 08:00:00
17410,2018-10-29 09:00:00
17628,2018-10-29 10:00:00
17684,2018-10-29 11:00:00
17648,2018-10-29 12:00:00
17620,2018-10-29 13:00:00
17526,2018-10-29 14:00:00
17488,2018-10-29 15:00:00
17632,2018-10-29 16:00:00
17977,2018-10-29 17:00:00
18632,2018-10-29 18:00:00
18612,2018-10-29 19:00:00
18028,2018-10-29 20:00:00
17185,2018-10-29 21:00:00
16012,2018-10-29 22:00:00
14779,2018-10-29 23:00:00
13682,2018-10-30 00:00:00
13129,2018-10-30 01:00:00
12815,2018-10-30 02:00:00
12697,2018-10-30 03:00:00
12861,2018-10-30 04:00:00
13658,2018-10-30 05:00:00
15365,2018-10-30 06:00:00
16732,2018-10-30 07:00:00
17151,2018-10-30 08:00:00
17400,2018-10-30 09:00:00
17514,2018-10-30 10:00:00
17467,2018-10-30 11:00:00
17369,2018-10-30 12:00:00
17322,2018-10-30 13:00:00
17241,2018-10-30 14:00:00
17234,2018-10-30 15:00:00
17419,2018-10-30 16:00:00
17825,2018-10-30 17:00:00
18484,2018-10-30 18:00:00
18449,2018-10-30 19:00:00
17905,2018-10-30 20:00:00
17099,2018-10-30 21:00:00
15916,2018-10-30 22:00:00
14694,2018-10-30 23:00:00
13811,2018-10-31 00:00:00
13239,2018-10-31 01:00:00
12891,2018-10-31 02:00:00
12752,2018-10-31 03:00:00
12903,2018-10-31 04:00:00
13734,2018-10-31 05:00:00
15532,2018-10-31 06:00:00
16979,2018-10-31 07:00:00
17406,2018-10-31 08:00:00
17653,2018-10-31 09:00:00
17742,2018-10-31 10:00:00
17695,2018-10-31 11:00:00
17585,2018-10-31 12:00:00
17534,2018-10-31 13:00:00
17442,2018-10-31 14:00:00
17436,2018-10-31 15:00:00
17614,2018-10-31 16:00:00
18020,2018-10-31 17:00:00
18680,2018-10-31 18:00:00
18618,2018-10-31 19:00:00
18043,2018-10-31 20:00:00
17210,2018-10-31 21:00:00
15974,2018-10-31 22:00:00
14675,2018-10-31 23:00:00
13750,2018-11-01 00:00:00
13163,2018-11-01 01:00:00
12828,2018-11-01 02:00:00
12712,2018-11-01 03:00:00
12869,2018-11-01 04:00:00
13711,2018-11-01 05:00:00
15552,2018-11-01 06:00:00
17085,2018-11-01 07:00:00
17502,2018-11-01 08:00:00
17746,2018-11-01 09:00:00
17840,2018-11-01 10:00:00
17831,2018-11-01 11:00:00
17727,2018-11-01 12:00:00
17687,2018-11-01 13:00:00
17594,2018-11-01 14:00:00
17419,2018-11-01 15:00:00
17563,2018-11-01 16:00:00
17908,2018-11-01 17:00:00
18565,2018-11-01 18:00:00
18414,2018-11-01 19:00:00
17939,2018-11-01 20:00:00
17070,2018-11-01 21:00:00
15848,2018-11-01 22:00:00
14588,2018-11-01 23:00:00
