Load Forecast,Time Stamp
1839,2018-07-16 00:00:00
1757,2018-07-16 01:00:00
1705,2018-07-16 02:00:00
1673,2018-07-16 03:00:00
1675,2018-07-16 04:00:00
1726,2018-07-16 05:00:00
1815,2018-07-16 06:00:00
1965,2018-07-16 07:00:00
2109,2018-07-16 08:00:00
2239,2018-07-16 09:00:00
2364,2018-07-16 10:00:00
2456,2018-07-16 11:00:00
2515,2018-07-16 12:00:00
2582,2018-07-16 13:00:00
2616,2018-07-16 14:00:00
2621,2018-07-16 15:00:00
2620,2018-07-16 16:00:00
2592,2018-07-16 17:00:00
2530,2018-07-16 18:00:00
2461,2018-07-16 19:00:00
2398,2018-07-16 20:00:00
2368,2018-07-16 21:00:00
2246,2018-07-16 22:00:00
2065,2018-07-16 23:00:00
1859,2018-07-17 00:00:00
1778,2018-07-17 01:00:00
1733,2018-07-17 02:00:00
1705,2018-07-17 03:00:00
1706,2018-07-17 04:00:00
1753,2018-07-17 05:00:00
1830,2018-07-17 06:00:00
1941,2018-07-17 07:00:00
2036,2018-07-17 08:00:00
2110,2018-07-17 09:00:00
2182,2018-07-17 10:00:00
2229,2018-07-17 11:00:00
2254,2018-07-17 12:00:00
2289,2018-07-17 13:00:00
2301,2018-07-17 14:00:00
2293,2018-07-17 15:00:00
2287,2018-07-17 16:00:00
2263,2018-07-17 17:00:00
2215,2018-07-17 18:00:00
2160,2018-07-17 19:00:00
2122,2018-07-17 20:00:00
2109,2018-07-17 21:00:00
2018,2018-07-17 22:00:00
1877,2018-07-17 23:00:00
1663,2018-07-18 00:00:00
1580,2018-07-18 01:00:00
1532,2018-07-18 02:00:00
1504,2018-07-18 03:00:00
1505,2018-07-18 04:00:00
1556,2018-07-18 05:00:00
1632,2018-07-18 06:00:00
1747,2018-07-18 07:00:00
1844,2018-07-18 08:00:00
1917,2018-07-18 09:00:00
1984,2018-07-18 10:00:00
2027,2018-07-18 11:00:00
2046,2018-07-18 12:00:00
2080,2018-07-18 13:00:00
2092,2018-07-18 14:00:00
2086,2018-07-18 15:00:00
2087,2018-07-18 16:00:00
2075,2018-07-18 17:00:00
2036,2018-07-18 18:00:00
1986,2018-07-18 19:00:00
1958,2018-07-18 20:00:00
1963,2018-07-18 21:00:00
1872,2018-07-18 22:00:00
1732,2018-07-18 23:00:00
1604,2018-07-19 00:00:00
1531,2018-07-19 01:00:00
1484,2018-07-19 02:00:00
1456,2018-07-19 03:00:00
1461,2018-07-19 04:00:00
1511,2018-07-19 05:00:00
1586,2018-07-19 06:00:00
1701,2018-07-19 07:00:00
1807,2018-07-19 08:00:00
1893,2018-07-19 09:00:00
1976,2018-07-19 10:00:00
2038,2018-07-19 11:00:00
2077,2018-07-19 12:00:00
2129,2018-07-19 13:00:00
2158,2018-07-19 14:00:00
2167,2018-07-19 15:00:00
2179,2018-07-19 16:00:00
2172,2018-07-19 17:00:00
2135,2018-07-19 18:00:00
2083,2018-07-19 19:00:00
2045,2018-07-19 20:00:00
2041,2018-07-19 21:00:00
1943,2018-07-19 22:00:00
1801,2018-07-19 23:00:00
1686,2018-07-20 00:00:00
1603,2018-07-20 01:00:00
1549,2018-07-20 02:00:00
1516,2018-07-20 03:00:00
1515,2018-07-20 04:00:00
1561,2018-07-20 05:00:00
1630,2018-07-20 06:00:00
1752,2018-07-20 07:00:00
1874,2018-07-20 08:00:00
1978,2018-07-20 09:00:00
2079,2018-07-20 10:00:00
2156,2018-07-20 11:00:00
2206,2018-07-20 12:00:00
2264,2018-07-20 13:00:00
2295,2018-07-20 14:00:00
2300,2018-07-20 15:00:00
2298,2018-07-20 16:00:00
2266,2018-07-20 17:00:00
2205,2018-07-20 18:00:00
2134,2018-07-20 19:00:00
2085,2018-07-20 20:00:00
2082,2018-07-20 21:00:00
1990,2018-07-20 22:00:00
1842,2018-07-20 23:00:00
1727,2018-07-21 00:00:00
1646,2018-07-21 01:00:00
1592,2018-07-21 02:00:00
1557,2018-07-21 03:00:00
1542,2018-07-21 04:00:00
1548,2018-07-21 05:00:00
1534,2018-07-21 06:00:00
1596,2018-07-21 07:00:00
1719,2018-07-21 08:00:00
1823,2018-07-21 09:00:00
1905,2018-07-21 10:00:00
1962,2018-07-21 11:00:00
1999,2018-07-21 12:00:00
2030,2018-07-21 13:00:00
2053,2018-07-21 14:00:00
2066,2018-07-21 15:00:00
2083,2018-07-21 16:00:00
2083,2018-07-21 17:00:00
2048,2018-07-21 18:00:00
1996,2018-07-21 19:00:00
1966,2018-07-21 20:00:00
1976,2018-07-21 21:00:00
1911,2018-07-21 22:00:00
1804,2018-07-21 23:00:00
