Load Forecast,Time Stamp
1078,2019-09-19 00:00:00
1046,2019-09-19 01:00:00
1027,2019-09-19 02:00:00
1023,2019-09-19 03:00:00
1041,2019-09-19 04:00:00
1110,2019-09-19 05:00:00
1243,2019-09-19 06:00:00
1296,2019-09-19 07:00:00
1282,2019-09-19 08:00:00
1252,2019-09-19 09:00:00
1229,2019-09-19 10:00:00
1209,2019-09-19 11:00:00
1197,2019-09-19 12:00:00
1208,2019-09-19 13:00:00
1220,2019-09-19 14:00:00
1247,2019-09-19 15:00:00
1296,2019-09-19 16:00:00
1338,2019-09-19 17:00:00
1368,2019-09-19 18:00:00
1443,2019-09-19 19:00:00
1426,2019-09-19 20:00:00
1343,2019-09-19 21:00:00
1236,2019-09-19 22:00:00
1143,2019-09-19 23:00:00
1085,2019-09-20 00:00:00
1051,2019-09-20 01:00:00
1031,2019-09-20 02:00:00
1025,2019-09-20 03:00:00
1042,2019-09-20 04:00:00
1106,2019-09-20 05:00:00
1232,2019-09-20 06:00:00
1288,2019-09-20 07:00:00
1277,2019-09-20 08:00:00
1265,2019-09-20 09:00:00
1262,2019-09-20 10:00:00
1260,2019-09-20 11:00:00
1269,2019-09-20 12:00:00
1295,2019-09-20 13:00:00
1326,2019-09-20 14:00:00
1362,2019-09-20 15:00:00
1405,2019-09-20 16:00:00
1428,2019-09-20 17:00:00
1419,2019-09-20 18:00:00
1464,2019-09-20 19:00:00
1433,2019-09-20 20:00:00
1362,2019-09-20 21:00:00
1270,2019-09-20 22:00:00
1181,2019-09-20 23:00:00
1147,2019-09-21 00:00:00
1109,2019-09-21 01:00:00
1083,2019-09-21 02:00:00
1065,2019-09-21 03:00:00
1064,2019-09-21 04:00:00
1087,2019-09-21 05:00:00
1128,2019-09-21 06:00:00
1168,2019-09-21 07:00:00
1216,2019-09-21 08:00:00
1237,2019-09-21 09:00:00
1250,2019-09-21 10:00:00
1258,2019-09-21 11:00:00
1264,2019-09-21 12:00:00
1288,2019-09-21 13:00:00
1323,2019-09-21 14:00:00
1374,2019-09-21 15:00:00
1433,2019-09-21 16:00:00
1483,2019-09-21 17:00:00
1504,2019-09-21 18:00:00
1552,2019-09-21 19:00:00
1531,2019-09-21 20:00:00
1458,2019-09-21 21:00:00
1367,2019-09-21 22:00:00
1268,2019-09-21 23:00:00
1169,2019-09-22 00:00:00
1116,2019-09-22 01:00:00
1084,2019-09-22 02:00:00
1066,2019-09-22 03:00:00
1062,2019-09-22 04:00:00
1075,2019-09-22 05:00:00
1103,2019-09-22 06:00:00
1138,2019-09-22 07:00:00
1197,2019-09-22 08:00:00
1242,2019-09-22 09:00:00
1283,2019-09-22 10:00:00
1314,2019-09-22 11:00:00
1346,2019-09-22 12:00:00
1387,2019-09-22 13:00:00
1433,2019-09-22 14:00:00
1486,2019-09-22 15:00:00
1554,2019-09-22 16:00:00
1614,2019-09-22 17:00:00
1639,2019-09-22 18:00:00
1686,2019-09-22 19:00:00
1651,2019-09-22 20:00:00
1545,2019-09-22 21:00:00
1420,2019-09-22 22:00:00
1298,2019-09-22 23:00:00
1182,2019-09-23 00:00:00
1135,2019-09-23 01:00:00
1104,2019-09-23 02:00:00
1091,2019-09-23 03:00:00
1102,2019-09-23 04:00:00
1170,2019-09-23 05:00:00
1312,2019-09-23 06:00:00
1397,2019-09-23 07:00:00
1424,2019-09-23 08:00:00
1451,2019-09-23 09:00:00
1491,2019-09-23 10:00:00
1523,2019-09-23 11:00:00
1558,2019-09-23 12:00:00
1596,2019-09-23 13:00:00
1622,2019-09-23 14:00:00
1652,2019-09-23 15:00:00
1688,2019-09-23 16:00:00
1716,2019-09-23 17:00:00
1726,2019-09-23 18:00:00
1758,2019-09-23 19:00:00
1701,2019-09-23 20:00:00
1584,2019-09-23 21:00:00
1448,2019-09-23 22:00:00
1327,2019-09-23 23:00:00
1265,2019-09-24 00:00:00
1209,2019-09-24 01:00:00
1176,2019-09-24 02:00:00
1160,2019-09-24 03:00:00
1167,2019-09-24 04:00:00
1231,2019-09-24 05:00:00
1369,2019-09-24 06:00:00
1435,2019-09-24 07:00:00
1458,2019-09-24 08:00:00
1451,2019-09-24 09:00:00
1454,2019-09-24 10:00:00
1457,2019-09-24 11:00:00
1467,2019-09-24 12:00:00
1483,2019-09-24 13:00:00
1491,2019-09-24 14:00:00
1505,2019-09-24 15:00:00
1536,2019-09-24 16:00:00
1561,2019-09-24 17:00:00
1559,2019-09-24 18:00:00
1575,2019-09-24 19:00:00
1507,2019-09-24 20:00:00
1404,2019-09-24 21:00:00
1280,2019-09-24 22:00:00
1174,2019-09-24 23:00:00
