Load Forecast,Time Stamp
1858,2019-06-12 00:00:00
1756,2019-06-12 01:00:00
1685,2019-06-12 02:00:00
1647,2019-06-12 03:00:00
1658,2019-06-12 04:00:00
1709,2019-06-12 05:00:00
1861,2019-06-12 06:00:00
2064,2019-06-12 07:00:00
2200,2019-06-12 08:00:00
2295,2019-06-12 09:00:00
2379,2019-06-12 10:00:00
2445,2019-06-12 11:00:00
2516,2019-06-12 12:00:00
2600,2019-06-12 13:00:00
2666,2019-06-12 14:00:00
2722,2019-06-12 15:00:00
2765,2019-06-12 16:00:00
2747,2019-06-12 17:00:00
2699,2019-06-12 18:00:00
2571,2019-06-12 19:00:00
2541,2019-06-12 20:00:00
2480,2019-06-12 21:00:00
2263,2019-06-12 22:00:00
2006,2019-06-12 23:00:00
1798,2019-06-13 00:00:00
1694,2019-06-13 01:00:00
1634,2019-06-13 02:00:00
1614,2019-06-13 03:00:00
1643,2019-06-13 04:00:00
1719,2019-06-13 05:00:00
1887,2019-06-13 06:00:00
2094,2019-06-13 07:00:00
2230,2019-06-13 08:00:00
2315,2019-06-13 09:00:00
2392,2019-06-13 10:00:00
2439,2019-06-13 11:00:00
2469,2019-06-13 12:00:00
2498,2019-06-13 13:00:00
2520,2019-06-13 14:00:00
2544,2019-06-13 15:00:00
2581,2019-06-13 16:00:00
2604,2019-06-13 17:00:00
2578,2019-06-13 18:00:00
2552,2019-06-13 19:00:00
2545,2019-06-13 20:00:00
2488,2019-06-13 21:00:00
2276,2019-06-13 22:00:00
2034,2019-06-13 23:00:00
1835,2019-06-14 00:00:00
1734,2019-06-14 01:00:00
1670,2019-06-14 02:00:00
1637,2019-06-14 03:00:00
1648,2019-06-14 04:00:00
1693,2019-06-14 05:00:00
1840,2019-06-14 06:00:00
2049,2019-06-14 07:00:00
2199,2019-06-14 08:00:00
2292,2019-06-14 09:00:00
2348,2019-06-14 10:00:00
2385,2019-06-14 11:00:00
2413,2019-06-14 12:00:00
2450,2019-06-14 13:00:00
2503,2019-06-14 14:00:00
2568,2019-06-14 15:00:00
2638,2019-06-14 16:00:00
2675,2019-06-14 17:00:00
2679,2019-06-14 18:00:00
2578,2019-06-14 19:00:00
2527,2019-06-14 20:00:00
2475,2019-06-14 21:00:00
2294,2019-06-14 22:00:00
2067,2019-06-14 23:00:00
1879,2019-06-15 00:00:00
1750,2019-06-15 01:00:00
1673,2019-06-15 02:00:00
1628,2019-06-15 03:00:00
1617,2019-06-15 04:00:00
1597,2019-06-15 05:00:00
1638,2019-06-15 06:00:00
1781,2019-06-15 07:00:00
1978,2019-06-15 08:00:00
2140,2019-06-15 09:00:00
2266,2019-06-15 10:00:00
2374,2019-06-15 11:00:00
2464,2019-06-15 12:00:00
2517,2019-06-15 13:00:00
2570,2019-06-15 14:00:00
2630,2019-06-15 15:00:00
2708,2019-06-15 16:00:00
2764,2019-06-15 17:00:00
2748,2019-06-15 18:00:00
2645,2019-06-15 19:00:00
2595,2019-06-15 20:00:00
2570,2019-06-15 21:00:00
2418,2019-06-15 22:00:00
2220,2019-06-15 23:00:00
2015,2019-06-16 00:00:00
1877,2019-06-16 01:00:00
1785,2019-06-16 02:00:00
1728,2019-06-16 03:00:00
1703,2019-06-16 04:00:00
1667,2019-06-16 05:00:00
1675,2019-06-16 06:00:00
1776,2019-06-16 07:00:00
1949,2019-06-16 08:00:00
2139,2019-06-16 09:00:00
2318,2019-06-16 10:00:00
2486,2019-06-16 11:00:00
2641,2019-06-16 12:00:00
2773,2019-06-16 13:00:00
2873,2019-06-16 14:00:00
2958,2019-06-16 15:00:00
3021,2019-06-16 16:00:00
3056,2019-06-16 17:00:00
2997,2019-06-16 18:00:00
2863,2019-06-16 19:00:00
2819,2019-06-16 20:00:00
2785,2019-06-16 21:00:00
2586,2019-06-16 22:00:00
2326,2019-06-16 23:00:00
2056,2019-06-17 00:00:00
1911,2019-06-17 01:00:00
1824,2019-06-17 02:00:00
1781,2019-06-17 03:00:00
1792,2019-06-17 04:00:00
1842,2019-06-17 05:00:00
2000,2019-06-17 06:00:00
2230,2019-06-17 07:00:00
2453,2019-06-17 08:00:00
2625,2019-06-17 09:00:00
2776,2019-06-17 10:00:00
2909,2019-06-17 11:00:00
3039,2019-06-17 12:00:00
3173,2019-06-17 13:00:00
3294,2019-06-17 14:00:00
3410,2019-06-17 15:00:00
3476,2019-06-17 16:00:00
3479,2019-06-17 17:00:00
3401,2019-06-17 18:00:00
3239,2019-06-17 19:00:00
3134,2019-06-17 20:00:00
3031,2019-06-17 21:00:00
2755,2019-06-17 22:00:00
2450,2019-06-17 23:00:00
