Load Forecast,Time Stamp
1578,2020-12-31 00:00:00
1531,2020-12-31 01:00:00
1506,2020-12-31 02:00:00
1498,2020-12-31 03:00:00
1520,2020-12-31 04:00:00
1593,2020-12-31 05:00:00
1695,2020-12-31 06:00:00
1781,2020-12-31 07:00:00
1806,2020-12-31 08:00:00
1827,2020-12-31 09:00:00
1847,2020-12-31 10:00:00
1855,2020-12-31 11:00:00
1844,2020-12-31 12:00:00
1841,2020-12-31 13:00:00
1836,2020-12-31 14:00:00
1847,2020-12-31 15:00:00
1906,2020-12-31 16:00:00
1987,2020-12-31 17:00:00
1950,2020-12-31 18:00:00
1877,2020-12-31 19:00:00
1810,2020-12-31 20:00:00
1746,2020-12-31 21:00:00
1686,2020-12-31 22:00:00
1644,2020-12-31 23:00:00
1589,2021-01-01 00:00:00
1541,2021-01-01 01:00:00
1504,2021-01-01 02:00:00
1492,2021-01-01 03:00:00
1486,2021-01-01 04:00:00
1509,2021-01-01 05:00:00
1559,2021-01-01 06:00:00
1590,2021-01-01 07:00:00
1611,2021-01-01 08:00:00
1649,2021-01-01 09:00:00
1683,2021-01-01 10:00:00
1710,2021-01-01 11:00:00
1705,2021-01-01 12:00:00
1700,2021-01-01 13:00:00
1694,2021-01-01 14:00:00
1705,2021-01-01 15:00:00
1774,2021-01-01 16:00:00
1851,2021-01-01 17:00:00
1823,2021-01-01 18:00:00
1776,2021-01-01 19:00:00
1735,2021-01-01 20:00:00
1673,2021-01-01 21:00:00
1600,2021-01-01 22:00:00
1532,2021-01-01 23:00:00
1483,2021-01-02 00:00:00
1442,2021-01-02 01:00:00
1424,2021-01-02 02:00:00
1414,2021-01-02 03:00:00
1423,2021-01-02 04:00:00
1450,2021-01-02 05:00:00
1482,2021-01-02 06:00:00
1547,2021-01-02 07:00:00
1605,2021-01-02 08:00:00
1669,2021-01-02 09:00:00
1708,2021-01-02 10:00:00
1722,2021-01-02 11:00:00
1716,2021-01-02 12:00:00
1697,2021-01-02 13:00:00
1680,2021-01-02 14:00:00
1690,2021-01-02 15:00:00
1727,2021-01-02 16:00:00
1807,2021-01-02 17:00:00
1791,2021-01-02 18:00:00
1742,2021-01-02 19:00:00
1695,2021-01-02 20:00:00
1643,2021-01-02 21:00:00
1585,2021-01-02 22:00:00
1534,2021-01-02 23:00:00
1496,2021-01-03 00:00:00
1463,2021-01-03 01:00:00
1446,2021-01-03 02:00:00
1438,2021-01-03 03:00:00
1443,2021-01-03 04:00:00
1460,2021-01-03 05:00:00
1513,2021-01-03 06:00:00
1584,2021-01-03 07:00:00
1635,2021-01-03 08:00:00
1685,2021-01-03 09:00:00
1713,2021-01-03 10:00:00
1727,2021-01-03 11:00:00
1734,2021-01-03 12:00:00
1727,2021-01-03 13:00:00
1725,2021-01-03 14:00:00
1749,2021-01-03 15:00:00
1835,2021-01-03 16:00:00
1926,2021-01-03 17:00:00
1929,2021-01-03 18:00:00
1878,2021-01-03 19:00:00
1830,2021-01-03 20:00:00
1743,2021-01-03 21:00:00
1648,2021-01-03 22:00:00
1574,2021-01-03 23:00:00
1495,2021-01-04 00:00:00
1464,2021-01-04 01:00:00
1458,2021-01-04 02:00:00
1467,2021-01-04 03:00:00
1514,2021-01-04 04:00:00
1625,2021-01-04 05:00:00
1791,2021-01-04 06:00:00
1897,2021-01-04 07:00:00
1919,2021-01-04 08:00:00
1920,2021-01-04 09:00:00
1933,2021-01-04 10:00:00
1921,2021-01-04 11:00:00
1902,2021-01-04 12:00:00
1881,2021-01-04 13:00:00
1859,2021-01-04 14:00:00
1865,2021-01-04 15:00:00
1932,2021-01-04 16:00:00
2052,2021-01-04 17:00:00
2061,2021-01-04 18:00:00
2014,2021-01-04 19:00:00
1953,2021-01-04 20:00:00
1866,2021-01-04 21:00:00
1764,2021-01-04 22:00:00
1682,2021-01-04 23:00:00
1617,2021-01-05 00:00:00
1586,2021-01-05 01:00:00
1569,2021-01-05 02:00:00
1568,2021-01-05 03:00:00
1604,2021-01-05 04:00:00
1706,2021-01-05 05:00:00
1868,2021-01-05 06:00:00
1955,2021-01-05 07:00:00
1953,2021-01-05 08:00:00
1929,2021-01-05 09:00:00
1917,2021-01-05 10:00:00
1892,2021-01-05 11:00:00
1865,2021-01-05 12:00:00
1853,2021-01-05 13:00:00
1841,2021-01-05 14:00:00
1844,2021-01-05 15:00:00
1905,2021-01-05 16:00:00
2019,2021-01-05 17:00:00
2007,2021-01-05 18:00:00
1969,2021-01-05 19:00:00
1902,2021-01-05 20:00:00
1808,2021-01-05 21:00:00
1709,2021-01-05 22:00:00
1633,2021-01-05 23:00:00
