Load Forecast,Time Stamp
1334,2020-07-20 00:00:00
1254,2020-07-20 01:00:00
1199,2020-07-20 02:00:00
1163,2020-07-20 03:00:00
1155,2020-07-20 04:00:00
1188,2020-07-20 05:00:00
1239,2020-07-20 06:00:00
1345,2020-07-20 07:00:00
1440,2020-07-20 08:00:00
1509,2020-07-20 09:00:00
1582,2020-07-20 10:00:00
1647,2020-07-20 11:00:00
1682,2020-07-20 12:00:00
1705,2020-07-20 13:00:00
1719,2020-07-20 14:00:00
1720,2020-07-20 15:00:00
1717,2020-07-20 16:00:00
1716,2020-07-20 17:00:00
1691,2020-07-20 18:00:00
1623,2020-07-20 19:00:00
1537,2020-07-20 20:00:00
1473,2020-07-20 21:00:00
1362,2020-07-20 22:00:00
1249,2020-07-20 23:00:00
1155,2020-07-21 00:00:00
1077,2020-07-21 01:00:00
1026,2020-07-21 02:00:00
995,2020-07-21 03:00:00
990,2020-07-21 04:00:00
1018,2020-07-21 05:00:00
1061,2020-07-21 06:00:00
1146,2020-07-21 07:00:00
1219,2020-07-21 08:00:00
1282,2020-07-21 09:00:00
1342,2020-07-21 10:00:00
1399,2020-07-21 11:00:00
1440,2020-07-21 12:00:00
1476,2020-07-21 13:00:00
1498,2020-07-21 14:00:00
1515,2020-07-21 15:00:00
1533,2020-07-21 16:00:00
1551,2020-07-21 17:00:00
1538,2020-07-21 18:00:00
1483,2020-07-21 19:00:00
1422,2020-07-21 20:00:00
1379,2020-07-21 21:00:00
1287,2020-07-21 22:00:00
1190,2020-07-21 23:00:00
1098,2020-07-22 00:00:00
1037,2020-07-22 01:00:00
1000,2020-07-22 02:00:00
977,2020-07-22 03:00:00
980,2020-07-22 04:00:00
1017,2020-07-22 05:00:00
1072,2020-07-22 06:00:00
1162,2020-07-22 07:00:00
1246,2020-07-22 08:00:00
1316,2020-07-22 09:00:00
1382,2020-07-22 10:00:00
1449,2020-07-22 11:00:00
1503,2020-07-22 12:00:00
1552,2020-07-22 13:00:00
1588,2020-07-22 14:00:00
1612,2020-07-22 15:00:00
1636,2020-07-22 16:00:00
1659,2020-07-22 17:00:00
1663,2020-07-22 18:00:00
1604,2020-07-22 19:00:00
1551,2020-07-22 20:00:00
1506,2020-07-22 21:00:00
1406,2020-07-22 22:00:00
1298,2020-07-22 23:00:00
1192,2020-07-23 00:00:00
1125,2020-07-23 01:00:00
1080,2020-07-23 02:00:00
1053,2020-07-23 03:00:00
1051,2020-07-23 04:00:00
1087,2020-07-23 05:00:00
1147,2020-07-23 06:00:00
1245,2020-07-23 07:00:00
1345,2020-07-23 08:00:00
1422,2020-07-23 09:00:00
1492,2020-07-23 10:00:00
1549,2020-07-23 11:00:00
1579,2020-07-23 12:00:00
1595,2020-07-23 13:00:00
1596,2020-07-23 14:00:00
1598,2020-07-23 15:00:00
1613,2020-07-23 16:00:00
1632,2020-07-23 17:00:00
1624,2020-07-23 18:00:00
1561,2020-07-23 19:00:00
1499,2020-07-23 20:00:00
1448,2020-07-23 21:00:00
1345,2020-07-23 22:00:00
1235,2020-07-23 23:00:00
1118,2020-07-24 00:00:00
1052,2020-07-24 01:00:00
1008,2020-07-24 02:00:00
981,2020-07-24 03:00:00
978,2020-07-24 04:00:00
1008,2020-07-24 05:00:00
1052,2020-07-24 06:00:00
1146,2020-07-24 07:00:00
1253,2020-07-24 08:00:00
1332,2020-07-24 09:00:00
1404,2020-07-24 10:00:00
1469,2020-07-24 11:00:00
1517,2020-07-24 12:00:00
1551,2020-07-24 13:00:00
1575,2020-07-24 14:00:00
1587,2020-07-24 15:00:00
1606,2020-07-24 16:00:00
1621,2020-07-24 17:00:00
1597,2020-07-24 18:00:00
1527,2020-07-24 19:00:00
1463,2020-07-24 20:00:00
1411,2020-07-24 21:00:00
1320,2020-07-24 22:00:00
1218,2020-07-24 23:00:00
1125,2020-07-25 00:00:00
1052,2020-07-25 01:00:00
1002,2020-07-25 02:00:00
966,2020-07-25 03:00:00
945,2020-07-25 04:00:00
948,2020-07-25 05:00:00
950,2020-07-25 06:00:00
1005,2020-07-25 07:00:00
1100,2020-07-25 08:00:00
1196,2020-07-25 09:00:00
1285,2020-07-25 10:00:00
1371,2020-07-25 11:00:00
1439,2020-07-25 12:00:00
1482,2020-07-25 13:00:00
1520,2020-07-25 14:00:00
1554,2020-07-25 15:00:00
1573,2020-07-25 16:00:00
1590,2020-07-25 17:00:00
1573,2020-07-25 18:00:00
1528,2020-07-25 19:00:00
1484,2020-07-25 20:00:00
1431,2020-07-25 21:00:00
1341,2020-07-25 22:00:00
1244,2020-07-25 23:00:00
