Load Forecast,Time Stamp
4805,2021-01-21 00:00:00
4644,2021-01-21 01:00:00
4535,2021-01-21 02:00:00
4486,2021-01-21 03:00:00
4513,2021-01-21 04:00:00
4698,2021-01-21 05:00:00
5079,2021-01-21 06:00:00
5496,2021-01-21 07:00:00
5795,2021-01-21 08:00:00
5938,2021-01-21 09:00:00
5978,2021-01-21 10:00:00
6012,2021-01-21 11:00:00
6000,2021-01-21 12:00:00
5969,2021-01-21 13:00:00
5940,2021-01-21 14:00:00
5949,2021-01-21 15:00:00
6037,2021-01-21 16:00:00
6208,2021-01-21 17:00:00
6113,2021-01-21 18:00:00
5953,2021-01-21 19:00:00
5759,2021-01-21 20:00:00
5549,2021-01-21 21:00:00
5250,2021-01-21 22:00:00
4951,2021-01-21 23:00:00
4727,2021-01-22 00:00:00
4567,2021-01-22 01:00:00
4464,2021-01-22 02:00:00
4417,2021-01-22 03:00:00
4442,2021-01-22 04:00:00
4633,2021-01-22 05:00:00
5005,2021-01-22 06:00:00
5403,2021-01-22 07:00:00
5689,2021-01-22 08:00:00
5811,2021-01-22 09:00:00
5847,2021-01-22 10:00:00
5882,2021-01-22 11:00:00
5881,2021-01-22 12:00:00
5880,2021-01-22 13:00:00
5873,2021-01-22 14:00:00
5892,2021-01-22 15:00:00
5980,2021-01-22 16:00:00
6113,2021-01-22 17:00:00
6011,2021-01-22 18:00:00
5859,2021-01-22 19:00:00
5684,2021-01-22 20:00:00
5515,2021-01-22 21:00:00
5282,2021-01-22 22:00:00
5037,2021-01-22 23:00:00
4843,2021-01-23 00:00:00
4680,2021-01-23 01:00:00
4571,2021-01-23 02:00:00
4517,2021-01-23 03:00:00
4513,2021-01-23 04:00:00
4576,2021-01-23 05:00:00
4717,2021-01-23 06:00:00
4879,2021-01-23 07:00:00
5052,2021-01-23 08:00:00
5206,2021-01-23 09:00:00
5315,2021-01-23 10:00:00
5396,2021-01-23 11:00:00
5474,2021-01-23 12:00:00
5474,2021-01-23 13:00:00
5499,2021-01-23 14:00:00
5526,2021-01-23 15:00:00
5630,2021-01-23 16:00:00
5829,2021-01-23 17:00:00
5864,2021-01-23 18:00:00
5790,2021-01-23 19:00:00
5704,2021-01-23 20:00:00
5585,2021-01-23 21:00:00
5411,2021-01-23 22:00:00
5202,2021-01-23 23:00:00
5016,2021-01-24 00:00:00
4848,2021-01-24 01:00:00
4721,2021-01-24 02:00:00
4653,2021-01-24 03:00:00
4630,2021-01-24 04:00:00
4662,2021-01-24 05:00:00
4763,2021-01-24 06:00:00
4865,2021-01-24 07:00:00
5000,2021-01-24 08:00:00
5124,2021-01-24 09:00:00
5223,2021-01-24 10:00:00
5310,2021-01-24 11:00:00
5394,2021-01-24 12:00:00
5406,2021-01-24 13:00:00
5440,2021-01-24 14:00:00
5480,2021-01-24 15:00:00
5592,2021-01-24 16:00:00
5821,2021-01-24 17:00:00
5876,2021-01-24 18:00:00
5814,2021-01-24 19:00:00
5724,2021-01-24 20:00:00
5594,2021-01-24 21:00:00
5368,2021-01-24 22:00:00
5101,2021-01-24 23:00:00
4895,2021-01-25 00:00:00
4748,2021-01-25 01:00:00
4649,2021-01-25 02:00:00
4615,2021-01-25 03:00:00
4650,2021-01-25 04:00:00
4853,2021-01-25 05:00:00
5214,2021-01-25 06:00:00
5625,2021-01-25 07:00:00
5924,2021-01-25 08:00:00
6090,2021-01-25 09:00:00
6165,2021-01-25 10:00:00
6219,2021-01-25 11:00:00
6221,2021-01-25 12:00:00
6213,2021-01-25 13:00:00
6180,2021-01-25 14:00:00
6170,2021-01-25 15:00:00
6256,2021-01-25 16:00:00
6402,2021-01-25 17:00:00
6330,2021-01-25 18:00:00
6170,2021-01-25 19:00:00
5964,2021-01-25 20:00:00
5747,2021-01-25 21:00:00
5433,2021-01-25 22:00:00
5102,2021-01-25 23:00:00
4859,2021-01-26 00:00:00
4692,2021-01-26 01:00:00
4581,2021-01-26 02:00:00
4537,2021-01-26 03:00:00
4565,2021-01-26 04:00:00
4760,2021-01-26 05:00:00
5130,2021-01-26 06:00:00
5534,2021-01-26 07:00:00
5805,2021-01-26 08:00:00
5950,2021-01-26 09:00:00
5999,2021-01-26 10:00:00
6046,2021-01-26 11:00:00
6056,2021-01-26 12:00:00
6049,2021-01-26 13:00:00
6036,2021-01-26 14:00:00
6052,2021-01-26 15:00:00
6144,2021-01-26 16:00:00
6317,2021-01-26 17:00:00
6267,2021-01-26 18:00:00
6145,2021-01-26 19:00:00
5981,2021-01-26 20:00:00
5782,2021-01-26 21:00:00
5489,2021-01-26 22:00:00
5184,2021-01-26 23:00:00
