"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"04/07/2020","04/04/2020","Actual","ALB",62,46,51,43
"04/07/2020","04/04/2020","Actual","ART",54,39,48,38
"04/07/2020","04/04/2020","Actual","BGM",52,39,47,39
"04/07/2020","04/04/2020","Actual","BUF",56,41,48,40
"04/07/2020","04/04/2020","Actual","ELM",56,42,49,41
"04/07/2020","04/04/2020","Actual","ELZ",51,36,45,36
"04/07/2020","04/04/2020","Actual","FOK",55,42,46,40
"04/07/2020","04/04/2020","Actual","FRG",60,46,49,43
"04/07/2020","04/04/2020","Actual","GFL",60,43,49,41
"04/07/2020","04/04/2020","Actual","HPN",55,45,47,42
"04/07/2020","04/04/2020","Actual","IAG",53,41,47,41
"04/07/2020","04/04/2020","Actual","ISP",57,45,47,42
"04/07/2020","04/04/2020","Actual","ITH",53,39,48,39
"04/07/2020","04/04/2020","Actual","JFK",58,44,50,43
"04/07/2020","04/04/2020","Actual","LGA",60,46,49,44
"04/07/2020","04/04/2020","Actual","MSS",55,37,47,35
"04/07/2020","04/04/2020","Actual","MSV",55,43,48,42
"04/07/2020","04/04/2020","Actual","NYC",61,46,49,44
"04/07/2020","04/04/2020","Actual","PLB",55,38,49,36
"04/07/2020","04/04/2020","Actual","POU",63,47,52,43
"04/07/2020","04/04/2020","Actual","ROC",50,42,46,41
"04/07/2020","04/04/2020","Actual","SLK",52,33,46,32
"04/07/2020","04/04/2020","Actual","SWF",63,46,51,44
"04/07/2020","04/04/2020","Actual","SYR",56,43,49,42
"04/07/2020","04/04/2020","Actual","UCA",56,42,49,42
"04/07/2020","04/05/2020","Actual","ALB",62,49,53,45
"04/07/2020","04/05/2020","Actual","ART",51,38,46,37
"04/07/2020","04/05/2020","Actual","BGM",59,41,50,38
"04/07/2020","04/05/2020","Actual","BUF",52,40,45,38
"04/07/2020","04/05/2020","Actual","ELM",64,37,52,37
"04/07/2020","04/05/2020","Actual","ELZ",58,38,49,35
"04/07/2020","04/05/2020","Actual","FOK",49,40,45,40
"04/07/2020","04/05/2020","Actual","FRG",58,46,52,43
"04/07/2020","04/05/2020","Actual","GFL",59,44,50,39
"04/07/2020","04/05/2020","Actual","HPN",59,43,51,42
"04/07/2020","04/05/2020","Actual","IAG",50,39,43,36
"04/07/2020","04/05/2020","Actual","ISP",52,44,48,43
"04/07/2020","04/05/2020","Actual","ITH",55,38,49,37
"04/07/2020","04/05/2020","Actual","JFK",57,42,52,42
"04/07/2020","04/05/2020","Actual","LGA",62,47,52,44
"04/07/2020","04/05/2020","Actual","MSS",51,36,47,34
"04/07/2020","04/05/2020","Actual","MSV",60,46,51,44
"04/07/2020","04/05/2020","Actual","NYC",65,47,53,44
"04/07/2020","04/05/2020","Actual","PLB",53,40,49,39
"04/07/2020","04/05/2020","Actual","POU",64,45,53,43
"04/07/2020","04/05/2020","Actual","ROC",50,38,46,37
"04/07/2020","04/05/2020","Actual","SLK",45,38,43,36
"04/07/2020","04/05/2020","Actual","SWF",63,46,53,44
"04/07/2020","04/05/2020","Actual","SYR",55,42,49,38
"04/07/2020","04/05/2020","Actual","UCA",54,42,49,40
"04/07/2020","04/06/2020","Actual","ALB",61,40,44,37
"04/07/2020","04/06/2020","Actual","ART",49,23,40,22
"04/07/2020","04/06/2020","Actual","BGM",54,33,41,32
"04/07/2020","04/06/2020","Actual","BUF",52,32,42,31
"04/07/2020","04/06/2020","Actual","ELM",61,27,44,26
"04/07/2020","04/06/2020","Actual","ELZ",56,30,41,30
"04/07/2020","04/06/2020","Actual","FOK",60,37,47,37
"04/07/2020","04/06/2020","Actual","FRG",65,49,49,44
"04/07/2020","04/06/2020","Actual","GFL",59,34,43,32
"04/07/2020","04/06/2020","Actual","HPN",63,44,46,39
"04/07/2020","04/06/2020","Actual","IAG",55,28,44,28
"04/07/2020","04/06/2020","Actual","ISP",63,44,47,43
"04/07/2020","04/06/2020","Actual","ITH",55,31,43,31
"04/07/2020","04/06/2020","Actual","JFK",62,47,49,44
"04/07/2020","04/06/2020","Actual","LGA",66,48,48,44
"04/07/2020","04/06/2020","Actual","MSS",55,25,42,24
"04/07/2020","04/06/2020","Actual","MSV",59,36,44,35
"04/07/2020","04/06/2020","Actual","NYC",66,49,49,42
"04/07/2020","04/06/2020","Actual","PLB",57,35,41,32
"04/07/2020","04/06/2020","Actual","POU",63,42,47,37
"04/07/2020","04/06/2020","Actual","ROC",56,30,44,29
"04/07/2020","04/06/2020","Actual","SLK",50,21,37,20
"04/07/2020","04/06/2020","Actual","SWF",63,45,50,38
"04/07/2020","04/06/2020","Actual","SYR",56,34,42,33
"04/07/2020","04/06/2020","Actual","UCA",54,34,41,33
"04/07/2020","04/07/2020","Forecast","ALB",62,47,47,37
"04/07/2020","04/07/2020","Forecast","ART",53,35,42,33
"04/07/2020","04/07/2020","Forecast","BGM",57,38,46,35
"04/07/2020","04/07/2020","Forecast","BUF",61,41,48,35
"04/07/2020","04/07/2020","Forecast","ELM",64,43,49,38
"04/07/2020","04/07/2020","Forecast","ELZ",59,40,48,32
"04/07/2020","04/07/2020","Forecast","FOK",57,39,46,37
"04/07/2020","04/07/2020","Forecast","FRG",62,49,48,41
"04/07/2020","04/07/2020","Forecast","GFL",59,38,44,33
"04/07/2020","04/07/2020","Forecast","HPN",63,48,48,38
"04/07/2020","04/07/2020","Forecast","IAG",58,38,46,34
"04/07/2020","04/07/2020","Forecast","ISP",60,45,48,42
"04/07/2020","04/07/2020","Forecast","ITH",58,37,47,35
"04/07/2020","04/07/2020","Forecast","JFK",60,50,48,39
"04/07/2020","04/07/2020","Forecast","LGA",63,52,50,41
"04/07/2020","04/07/2020","Forecast","MSS",53,27,41,26
"04/07/2020","04/07/2020","Forecast","MSV",61,42,47,34
"04/07/2020","04/07/2020","Forecast","NYC",64,51,50,39
"04/07/2020","04/07/2020","Forecast","PLB",53,38,41,33
"04/07/2020","04/07/2020","Forecast","POU",66,44,50,37
"04/07/2020","04/07/2020","Forecast","ROC",58,40,47,37
"04/07/2020","04/07/2020","Forecast","SLK",50,24,39,23
"04/07/2020","04/07/2020","Forecast","SWF",65,45,50,37
"04/07/2020","04/07/2020","Forecast","SYR",59,43,46,38
"04/07/2020","04/07/2020","Forecast","UCA",57,40,45,37
"04/07/2020","04/08/2020","Forecast","ALB",54,45,47,42
"04/07/2020","04/08/2020","Forecast","ART",51,40,45,38
"04/07/2020","04/08/2020","Forecast","BGM",53,43,48,40
"04/07/2020","04/08/2020","Forecast","BUF",53,45,48,42
"04/07/2020","04/08/2020","Forecast","ELM",59,46,51,43
"04/07/2020","04/08/2020","Forecast","ELZ",54,42,49,40
"04/07/2020","04/08/2020","Forecast","FOK",51,42,47,41
"04/07/2020","04/08/2020","Forecast","FRG",58,49,51,45
"04/07/2020","04/08/2020","Forecast","GFL",51,39,44,37
"04/07/2020","04/08/2020","Forecast","HPN",55,48,50,45
"04/07/2020","04/08/2020","Forecast","IAG",53,43,47,41
"04/07/2020","04/08/2020","Forecast","ISP",54,46,49,44
"04/07/2020","04/08/2020","Forecast","ITH",52,43,48,41
"04/07/2020","04/08/2020","Forecast","JFK",57,49,52,46
"04/07/2020","04/08/2020","Forecast","LGA",59,52,53,47
"04/07/2020","04/08/2020","Forecast","MSS",47,34,39,31
"04/07/2020","04/08/2020","Forecast","MSV",56,43,51,42
"04/07/2020","04/08/2020","Forecast","NYC",60,52,54,48
"04/07/2020","04/08/2020","Forecast","PLB",47,35,39,32
"04/07/2020","04/08/2020","Forecast","POU",57,46,51,44
"04/07/2020","04/08/2020","Forecast","ROC",51,44,46,42
"04/07/2020","04/08/2020","Forecast","SLK",46,31,39,29
"04/07/2020","04/08/2020","Forecast","SWF",57,47,51,44
"04/07/2020","04/08/2020","Forecast","SYR",53,43,47,40
"04/07/2020","04/08/2020","Forecast","UCA",52,41,47,40
